,CJPL,Kamioka,LNGS,SURF,SNOlab
88,"(33.0, 37.0, 3.836, 3.863, 1, 1)","(33.0, 37.0, 3.647, 3.674, 1, 1)","(29.0, 33.0, 3.836, 3.863, 1, 1)","(29.0, 33.0, 3.701, 3.728, 1, 1)","(29.0, 33.0, 3.647, 3.674, 1, 1)"
89,"(33.0, 37.0, 3.863, 3.89, 1, 1)","(33.0, 37.0, 3.674, 3.701, 1, 1)","(33.0, 37.0, 3.431, 3.458, 1, 1)","(29.0, 33.0, 3.728, 3.755, 1, 1)","(29.0, 33.0, 3.674, 3.701, 1, 1)"
90,"(37.0, 41.0, 3.458, 3.485, 1, 1)","(33.0, 37.0, 3.701, 3.728, 1, 1)","(33.0, 37.0, 3.458, 3.485, 1, 1)","(29.0, 33.0, 3.755, 3.782, 1, 1)","(29.0, 33.0, 3.701, 3.728, 1, 1)"
91,"(37.0, 41.0, 3.485, 3.512, 1, 1)","(33.0, 37.0, 3.728, 3.755, 1, 1)","(33.0, 37.0, 3.485, 3.512, 1, 1)","(29.0, 33.0, 3.782, 3.809, 1, 1)","(29.0, 33.0, 3.728, 3.755, 1, 1)"
92,"(37.0, 41.0, 3.512, 3.539, 1, 1)","(33.0, 37.0, 3.755, 3.782, 1, 1)","(33.0, 37.0, 3.512, 3.539, 1, 1)","(29.0, 33.0, 3.809, 3.836, 1, 1)","(29.0, 33.0, 3.755, 3.782, 1, 1)"
93,"(37.0, 41.0, 3.539, 3.566, 1, 1)","(33.0, 37.0, 3.782, 3.809, 1, 1)","(33.0, 37.0, 3.539, 3.566, 1, 1)","(29.0, 33.0, 3.836, 3.863, 1, 1)","(29.0, 33.0, 3.782, 3.809, 1, 1)"
94,"(37.0, 41.0, 3.566, 3.593, 1, 1)","(33.0, 37.0, 3.809, 3.836, 1, 1)","(33.0, 37.0, 3.566, 3.593, 1, 1)","(33.0, 37.0, 3.431, 3.458, 1, 1)","(29.0, 33.0, 3.809, 3.836, 1, 1)"
95,"(37.0, 41.0, 3.593, 3.62, 1, 1)","(33.0, 37.0, 3.836, 3.863, 1, 1)","(33.0, 37.0, 3.593, 3.62, 1, 1)","(33.0, 37.0, 3.458, 3.485, 1, 1)","(29.0, 33.0, 3.836, 3.863, 1, 1)"
96,"(37.0, 41.0, 3.62, 3.647, 1, 1)","(33.0, 37.0, 3.863, 3.89, 1, 1)","(33.0, 37.0, 3.62, 3.647, 1, 1)","(33.0, 37.0, 3.485, 3.512, 1, 1)","(33.0, 37.0, 3.431, 3.458, 1, 1)"
97,"(37.0, 41.0, 3.647, 3.674, 1, 1)","(37.0, 41.0, 3.485, 3.512, 1, 1)","(33.0, 37.0, 3.647, 3.674, 1, 1)","(33.0, 37.0, 3.512, 3.539, 1, 1)","(33.0, 37.0, 3.458, 3.485, 1, 1)"
98,"(37.0, 41.0, 3.674, 3.701, 1, 1)","(37.0, 41.0, 3.512, 3.539, 1, 1)","(33.0, 37.0, 3.674, 3.701, 1, 1)","(33.0, 37.0, 3.539, 3.566, 1, 1)","(33.0, 37.0, 3.485, 3.512, 1, 1)"
